хорхе луис борхес | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Jorge-Luis-Borges.html 1 
activ apathi | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/inspirational/page/1/index.html 3 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/love/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/2/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/love/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/inspirational/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/activism/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/apathy/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/hate/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/indifference/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/opposite/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/philosophy/page/1/index.html 1 
activ apathi apathi | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/inspirational/page/1/index.html 3 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/love/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/love/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/inspirational/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/activism/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/hate/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/indifference/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/opposite/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/philosophy/page/1/index.html 1 
activ apathi hate | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/apathy/page/1/index.html 1 
activ apathi tag | https://cs.brown.edu/courses/csci1380/sandbox/4/page/2/index.html 1 
activ church | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Charles-M-Schulz.html 1 
activ church god | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Charles-M-Schulz.html 1 
activ colombian | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Pablo-Neruda.html 1 
activ colombian novelist | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Pablo-Neruda.html 1 
activ effect | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Helen-Keller.html 1 
activ effect suffragist | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Helen-Keller.html 1 
activ eldest | https://cs.brown.edu/courses/csci1380/sandbox/4/author/James-Baldwin.html 1 
activ eldest children | https://cs.brown.edu/courses/csci1380/sandbox/4/author/James-Baldwin.html 1 
activ grace | https://cs.brown.edu/courses/csci1380/sandbox/4/author/J-R-R-Tolkien.html 1 
activ grace addit | https://cs.brown.edu/courses/csci1380/sandbox/4/author/J-R-R-Tolkien.html 1 
activ inform | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Andre-Gide.html 1 
activ inform etho | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Andre-Gide.html 1 
activ ladi | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Eleanor-Roosevelt.html 1 
activ ladi promot | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Eleanor-Roosevelt.html 1 
activ local | https://cs.brown.edu/courses/csci1380/sandbox/4/author/George-Bernard-Shaw.html 1 
activ local polit | https://cs.brown.edu/courses/csci1380/sandbox/4/author/George-Bernard-Shaw.html 1 
activ love | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/activism/page/1/index.html 1 
activ love hate | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/activism/page/1/index.html 1 
activ recal | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Stephenie-Meyer.html 1 
activ recal singl | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Stephenie-Meyer.html 1 
activ tag | https://cs.brown.edu/courses/csci1380/sandbox/4/page/2/index.html 1 
activ tag activ | https://cs.brown.edu/courses/csci1380/sandbox/4/page/2/index.html 1 
activist | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Elie-Wiesel.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Martin-Luther-King-Jr.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Douglas-Adams.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Bob-Marley.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/John-Lennon.html 1 
activist career | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Martin-Luther-King-Jr.html 1 
activist career led | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Martin-Luther-King-Jr.html 1 
activist frontman | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Bob-Marley.html 1 
activist frontman lead | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Bob-Marley.html 1 
activist holocaust | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Elie-Wiesel.html 1 
activist holocaust survivor | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Elie-Wiesel.html 1 
activist lover | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Douglas-Adams.html 1 
activist lover fast | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Douglas-Adams.html 1 
activist move | https://cs.brown.edu/courses/csci1380/sandbox/4/author/John-Lennon.html 1 
activist move york | https://cs.brown.edu/courses/csci1380/sandbox/4/author/John-Lennon.html 1 
actor | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Steve-Martin.html 2 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Marilyn-Monroe.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/George-Carlin.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/W-C-Fields.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Ayn-Rand.html 1 
actor author | https://cs.brown.edu/courses/csci1380/sandbox/4/author/George-Carlin.html 1 
actor author philosoph | https://cs.brown.edu/courses/csci1380/sandbox/4/author/George-Carlin.html 1 
actor call | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Ayn-Rand.html 1 
actor call frank | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Ayn-Rand.html 1 
actor comedian | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Steve-Martin.html 1 
actor comedian writer | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Steve-Martin.html 1 
actor field | https://cs.brown.edu/courses/csci1380/sandbox/4/author/W-C-Fields.html 1 
actor field creat | https://cs.brown.edu/courses/csci1380/sandbox/4/author/W-C-Fields.html 1 
actor playwright | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Steve-Martin.html 1 
actor playwright juggler | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Steve-Martin.html 1 
actor studio | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Marilyn-Monroe.html 1 
actor studio broaden | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Marilyn-Monroe.html 1 
actress | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Marilyn-Monroe.html 1 
actress model | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Marilyn-Monroe.html 1 
actress model singer | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Marilyn-Monroe.html 1 
actual | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Stephenie-Meyer.html 1 
actual eventu | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Stephenie-Meyer.html 1 
actual eventu exchang | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Stephenie-Meyer.html 1 
acumen | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Mark-Twain.html 1 
acumen deal | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Mark-Twain.html 1 
acumen deal monei | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Mark-Twain.html 1 
ad | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Dr-Seuss.html 1 
ad flit | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Dr-Seuss.html 1 
ad flit associ | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Dr-Seuss.html 1 
ada | https://cs.brown.edu/courses/csci1380/sandbox/4/author/J-K-Rowling.html 1 
ada bulgen | https://cs.brown.edu/courses/csci1380/sandbox/4/author/J-K-Rowling.html 1 
ada bulgen rowl | https://cs.brown.edu/courses/csci1380/sandbox/4/author/J-K-Rowling.html 1 
adam | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Douglas-Adams.html 8 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/life/page/1/index.html 4 https://cs.brown.edu/courses/csci1380/sandbox/4/page/2/index.html 2 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/life/index.html 2 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/navigation/page/1/index.html 2 https://cs.brown.edu/courses/csci1380/sandbox/4/author/George-Eliot.html 1 
adam author | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/life/page/1/index.html 2 https://cs.brown.edu/courses/csci1380/sandbox/4/page/2/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/life/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/navigation/page/1/index.html 1 
adam author dougla | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/life/page/1/index.html 2 https://cs.brown.edu/courses/csci1380/sandbox/4/page/2/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/life/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/navigation/page/1/index.html 1 
adam bede | https://cs.brown.edu/courses/csci1380/sandbox/4/author/George-Eliot.html 1 
adam bede floss | https://cs.brown.edu/courses/csci1380/sandbox/4/author/George-Eliot.html 1 
adam born | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Douglas-Adams.html 1 
adam born march | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Douglas-Adams.html 1 
adam death | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Douglas-Adams.html 1 
adam death seri | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Douglas-Adams.html 1 
adam english | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Douglas-Adams.html 1 
adam english author | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Douglas-Adams.html 1 
adam environment | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Douglas-Adams.html 1 
adam environment activist | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Douglas-Adams.html 1 
adam fan | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Douglas-Adams.html 1 
adam fan bop | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Douglas-Adams.html 1 
adam found | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Douglas-Adams.html 1 
adam found adapt | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Douglas-Adams.html 1 
adam origin | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Douglas-Adams.html 1 
adam origin idea | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Douglas-Adams.html 1 
adam tag | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/life/page/1/index.html 2 https://cs.brown.edu/courses/csci1380/sandbox/4/page/2/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/life/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/navigation/page/1/index.html 1 
adam tag life | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/life/page/1/index.html 2 https://cs.brown.edu/courses/csci1380/sandbox/4/page/2/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/life/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/navigation/page/1/index.html 1 
adam wrote | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Douglas-Adams.html 1 
adam wrote wrote | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Douglas-Adams.html 1 
adapt | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Douglas-Adams.html 2 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Alexandre-Dumas-fils.html 2 https://cs.brown.edu/courses/csci1380/sandbox/4/author/George-Bernard-Shaw.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/William-Nicholson.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/John-Lennon.html 1 
adapt anthem | https://cs.brown.edu/courses/csci1380/sandbox/4/author/John-Lennon.html 1 
adapt anthem anti | https://cs.brown.edu/courses/csci1380/sandbox/4/author/John-Lennon.html 1 
adapt live | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Douglas-Adams.html 1 
adapt live theatr | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Douglas-Adams.html 1 
adapt monei | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Alexandre-Dumas-fils.html 1 
adapt monei success | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Alexandre-Dumas-fils.html 1 
adapt plai | https://cs.brown.edu/courses/csci1380/sandbox/4/author/George-Bernard-Shaw.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Alexandre-Dumas-fils.html 1 
adapt plai shaw | https://cs.brown.edu/courses/csci1380/sandbox/4/author/George-Bernard-Shaw.html 1 
adapt plai titl | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Alexandre-Dumas-fils.html 1 
adapt shadowland | https://cs.brown.edu/courses/csci1380/sandbox/4/author/William-Nicholson.html 1 
adapt shadowland stage | https://cs.brown.edu/courses/csci1380/sandbox/4/author/William-Nicholson.html 1 
adapt terri | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Douglas-Adams.html 1 
adapt terri jone | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Douglas-Adams.html 1 
addit | https://cs.brown.edu/courses/csci1380/sandbox/4/author/J-R-R-Tolkien.html 2 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Jane-Austen.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Douglas-Adams.html 1 
addit hitchhik | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Douglas-Adams.html 1 
addit hitchhik guid | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Douglas-Adams.html 1 
addit lord | https://cs.brown.edu/courses/csci1380/sandbox/4/author/J-R-R-Tolkien.html 1 
addit lord prayer | https://cs.brown.edu/courses/csci1380/sandbox/4/author/J-R-R-Tolkien.html 1 
addit novel | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Jane-Austen.html 1 
addit novel northang | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Jane-Austen.html 1 
addit saga | https://cs.brown.edu/courses/csci1380/sandbox/4/author/J-R-R-Tolkien.html 1 
addit saga includ | https://cs.brown.edu/courses/csci1380/sandbox/4/author/J-R-R-Tolkien.html 1 
addition | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Dr-Seuss.html 1 
addition submit | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Dr-Seuss.html 1 
addition submit cartoon | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Dr-Seuss.html 1 
address | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Ralph-Waldo-Emerson.html 3 https://cs.brown.edu/courses/csci1380/sandbox/4/author/George-Bernard-Shaw.html 1 
address essai | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Ralph-Waldo-Emerson.html 1 
address essai natur | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Ralph-Waldo-Emerson.html 1 
address harvard | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Ralph-Waldo-Emerson.html 1 
address harvard divin | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Ralph-Waldo-Emerson.html 1 
address lectur | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Ralph-Waldo-Emerson.html 1 
address lectur volum | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Ralph-Waldo-Emerson.html 1 
address prevail | https://cs.brown.edu/courses/csci1380/sandbox/4/author/George-Bernard-Shaw.html 1 
address prevail social | https://cs.brown.edu/courses/csci1380/sandbox/4/author/George-Bernard-Shaw.html 1 
administr | https://cs.brown.edu/courses/csci1380/sandbox/4/author/John-Lennon.html 1 
administr deport | https://cs.brown.edu/courses/csci1380/sandbox/4/author/John-Lennon.html 1 
administr deport song | https://cs.brown.edu/courses/csci1380/sandbox/4/author/John-Lennon.html 1 
admir | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Eleanor-Roosevelt.html 2 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Helen-Keller.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/humor/page/2/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/love/page/2/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/romantic/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/women/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/E-E-Cummings.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/9/index.html 1 
admir dial | https://cs.brown.edu/courses/csci1380/sandbox/4/author/E-E-Cummings.html 1 
admir dial publish | https://cs.brown.edu/courses/csci1380/sandbox/4/author/E-E-Cummings.html 1 
admir flower | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Helen-Keller.html 1 
admir flower motion | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Helen-Keller.html 1 
admir love | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/humor/page/2/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/love/page/2/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/romantic/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/women/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/9/index.html 1 
admir love love | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/humor/page/2/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/love/page/2/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/romantic/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/women/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/9/index.html 1 
admir peopl | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Eleanor-Roosevelt.html 1 
admir person | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Eleanor-Roosevelt.html 1 
admir person centuri | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Eleanor-Roosevelt.html 1 
admit | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Alexandre-Dumas-fils.html 2 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/love/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/2/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/love/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Stephenie-Meyer.html 1 
admit académi | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Alexandre-Dumas-fils.html 1 
admit académi français | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Alexandre-Dumas-fils.html 1 
admit adapt | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Alexandre-Dumas-fils.html 1 
admit adapt monei | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Alexandre-Dumas-fils.html 1 
admit easier | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Stephenie-Meyer.html 1 
admit easier googl | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Stephenie-Meyer.html 1 
admit human | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/love/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/2/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/love/index.html 1 
admit human mistak | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/love/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/2/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/love/index.html 1 
adolesc | https://cs.brown.edu/courses/csci1380/sandbox/4/author/J-D-Salinger.html 2 https://cs.brown.edu/courses/csci1380/sandbox/4/author/J-K-Rowling.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/George-Eliot.html 1 
